time,gFx,gFy,gFz,TgF
0.0040,0.0589,0.6662,0.6853,0.958
0.0130,0.0696,0.6601,0.7112,0.973
0.0180,0.0740,0.6638,0.7283,0.988
0.0280,0.0745,0.6687,0.7413,1.001
0.0380,0.0816,0.6684,0.7530,1.010
0.0490,0.0757,0.6770,0.7738,1.031
0.0610,0.0335,0.6748,0.7357,0.999
0.0680,0.0435,0.6635,0.7396,0.995
0.0780,0.0354,0.6633,0.7283,0.986
0.0890,0.0293,0.6743,0.7322,0.996
0.0990,0.0398,0.6745,0.7401,1.002
0.1090,0.0423,0.6738,0.7462,1.006
0.1200,0.0447,0.6753,0.7486,1.009
0.1300,0.0496,0.6748,0.7261,0.992
0.1400,0.0535,0.6694,0.7259,0.989
0.1500,0.0452,0.6679,0.7278,0.989
0.1610,0.0489,0.6689,0.7237,0.987
0.1700,0.0508,0.6638,0.7254,0.985
0.1800,0.0469,0.6655,0.7291,0.988
0.1900,0.0408,0.6652,0.7310,0.989
0.2020,0.0425,0.6687,0.7256,0.988
0.2110,0.0450,0.6694,0.7088,0.976
0.2220,0.0423,0.6709,0.6961,0.968
0.2320,0.0457,0.6718,0.6914,0.965
0.2410,0.0640,0.6867,0.6917,0.977
0.2520,0.0655,0.6877,0.7164,0.995
0.2620,0.0533,0.6750,0.7244,0.992
0.2720,0.0486,0.6736,0.7315,0.996
0.2820,0.0496,0.6738,0.7244,0.991
0.2930,0.0398,0.6765,0.7012,0.975
0.3030,0.0547,0.6811,0.6910,0.972
0.3140,0.0513,0.6816,0.6946,0.975
0.3260,0.0318,0.6760,0.6883,0.965
0.3340,0.0232,0.6718,0.6924,0.965
0.3440,0.0164,0.6726,0.7046,0.974
0.3560,0.0183,0.6643,0.7056,0.969
0.3710,0.0132,0.6645,0.7061,0.970
0.3790,0.0166,0.6613,0.7063,0.968
0.3850,0.0200,0.6628,0.7125,0.973
0.3950,0.0225,0.6638,0.7061,0.969
0.4050,0.0220,0.6616,0.6997,0.963
0.4170,0.0205,0.6623,0.7066,0.969
0.4320,0.0198,0.6591,0.7073,0.967
0.4340,0.0183,0.6599,0.7076,0.968
0.4460,0.0249,0.6550,0.7159,0.971
0.4550,0.0266,0.6567,0.7190,0.974
0.4650,0.0274,0.6601,0.7227,0.979
0.4810,0.0286,0.6621,0.7286,0.985
0.4860,0.0188,0.6621,0.7244,0.982
0.4960,0.0208,0.6567,0.7188,0.974
0.5070,0.0188,0.6613,0.7105,0.971
0.5170,0.0103,0.6616,0.6951,0.960
0.5270,0.0139,0.6655,0.6907,0.959
0.5370,0.0127,0.6677,0.6997,0.967
0.5480,0.0173,0.6606,0.7088,0.969
0.5600,0.0161,0.6650,0.7103,0.973
0.5680,0.0178,0.6645,0.7054,0.969
0.5780,0.0198,0.6665,0.7002,0.967
0.5880,0.0169,0.6606,0.7181,0.976
0.5980,0.0232,0.6604,0.7342,0.988
0.6100,0.0259,0.6667,0.7383,0.995
