time,gFx,gFy,gFz,TgF
0.0040,0.1217,0.5257,0.8559,1.012
0.0100,0.1119,0.5270,0.8776,1.030
0.0230,0.1222,0.5206,0.8815,1.031
0.0260,0.1195,0.5182,0.8805,1.029
0.0380,0.1204,0.5135,0.8844,1.030
0.0560,0.1244,0.5130,0.8991,1.043
0.0570,0.1065,0.5206,0.9199,1.062
0.0730,0.0911,0.5216,0.9191,1.061
0.0770,0.1102,0.5470,0.8915,1.052
0.0890,0.1246,0.5570,0.8351,1.012
0.0990,0.0870,0.5409,0.8358,0.999
0.1080,0.0750,0.5189,0.8505,0.999
0.1260,0.0689,0.5199,0.8585,1.006
0.1270,0.0706,0.5157,0.8468,0.994
0.1380,0.0594,0.5126,0.8334,0.980
0.1490,0.0625,0.5126,0.8207,0.970
0.1580,0.0713,0.5135,0.8204,0.971
0.1680,0.0745,0.5057,0.8168,0.964
0.1790,0.0743,0.5096,0.8138,0.963
0.1880,0.0745,0.5108,0.8087,0.959
0.2100,0.0691,0.5047,0.8063,0.954
0.2100,0.0689,0.5074,0.8243,0.970
0.2190,0.0701,0.5003,0.8187,0.962
0.2320,0.0652,0.4994,0.8099,0.954
0.2390,0.0721,0.4930,0.8290,0.967
0.2490,0.0618,0.4908,0.8686,1.000
0.2590,0.0459,0.4889,0.8424,0.975
0.2690,0.0415,0.5028,0.7926,0.940
0.2820,0.0542,0.5157,0.7906,0.946
0.2900,0.0655,0.5226,0.8026,0.960
0.3000,0.0687,0.5152,0.8219,0.972
0.3110,0.0718,0.5196,0.8534,1.002
0.3260,0.0733,0.5211,0.8390,0.990
0.3330,0.0757,0.5345,0.7642,0.936
0.3410,0.0689,0.5509,0.7405,0.926
0.3520,0.1009,0.5575,0.7708,0.957
0.3610,0.1063,0.5504,0.7928,0.971
0.3720,0.0884,0.5341,0.8241,0.986
0.3830,0.0577,0.5297,0.8493,1.003
0.3910,0.0454,0.5179,0.8600,1.005
0.4020,0.0327,0.5130,0.8752,1.015
0.4120,0.0198,0.5035,0.8800,1.014
0.4270,0.0098,0.4999,0.8808,1.013
0.4340,0.0037,0.4911,0.8722,1.001
0.4420,-0.0015,0.4874,0.8559,0.985
0.4530,-0.0073,0.4869,0.8412,0.972
0.4630,-0.0120,0.4835,0.8199,0.952
0.4730,-0.0105,0.4801,0.8077,0.940
0.4830,-0.0029,0.4815,0.8087,0.941
0.4930,0.0498,0.4769,0.8827,1.005
0.5090,0.0535,0.4781,0.9675,1.081
0.5150,-0.0093,0.4867,0.9306,1.050
0.5240,-0.0254,0.4935,0.9133,1.038
0.5340,-0.0071,0.5052,0.8727,1.008
0.5450,0.0112,0.5138,0.8229,0.970
0.5540,0.0247,0.5113,0.8011,0.951
0.5650,0.0279,0.5077,0.8028,0.950
0.5740,0.0244,0.5062,0.8248,0.968
0.5840,0.0215,0.5045,0.8520,0.990
0.5950,0.0142,0.5003,0.8691,1.003
0.6100,0.0022,0.4962,0.8862,1.016
0.6170,0.0110,0.5062,0.8986,1.031
0.6250,0.0147,0.4969,0.8471,0.982
0.6360,0.0061,0.5018,0.8285,0.969
0.6450,0.0186,0.5067,0.8253,0.969
0.6550,0.0281,0.5055,0.8441,0.984
0.6660,0.0098,0.5018,0.8627,0.998
0.6760,0.0078,0.5013,0.8796,1.012
0.6860,0.0076,0.5033,0.8881,1.021
0.7020,-0.0039,0.5121,0.8776,1.016
0.7060,-0.0181,0.5111,0.8600,1.001
0.7170,-0.0154,0.5121,0.8488,0.991
0.7270,0.0010,0.5084,0.8610,1.000
0.7370,0.0086,0.5060,0.8642,1.001
0.7540,0.0098,0.5050,0.8520,0.990
0.7570,0.0191,0.4947,0.8485,0.982
