time,gFx,gFy,gFz,TgF
0.0040,0.0701,0.6254,0.7833,1.005
0.0140,0.0662,0.6227,0.7904,1.008
0.0790,0.0611,0.6174,0.7909,1.005
0.0800,0.0613,0.6169,0.7943,1.008
0.0810,0.0613,0.6191,0.7850,1.002
0.0820,0.0594,0.6164,0.7728,0.990
0.0820,0.0557,0.6171,0.7684,0.987
0.0830,0.0569,0.6157,0.7642,0.983
0.0840,0.0567,0.6183,0.7669,0.987
0.0900,0.0442,0.6135,0.7457,0.967
0.1010,0.0511,0.6100,0.7550,0.972
0.1110,0.0625,0.6144,0.7623,0.981
0.1310,0.0660,0.6169,0.7708,0.989
0.1320,0.0557,0.6157,0.7779,0.994
0.1410,0.0506,0.6174,0.7738,0.991
0.1520,0.0425,0.6125,0.7704,0.985
0.1650,0.0369,0.6098,0.7701,0.983
0.1710,0.0398,0.6076,0.7735,0.984
0.1820,0.0413,0.6105,0.7774,0.989
0.1980,0.0430,0.6139,0.7823,0.995
0.2050,0.0484,0.6130,0.7899,1.001
0.2120,0.0396,0.6110,0.7728,0.986
0.2220,0.0193,0.6064,0.7462,0.962
0.2320,0.0266,0.6064,0.7405,0.957
0.2420,0.0403,0.6120,0.7503,0.969
0.2550,0.0564,0.6132,0.7787,0.993
0.2620,0.0511,0.6154,0.7904,1.003
0.2730,0.0388,0.6073,0.7853,0.993
0.2830,0.0384,0.6073,0.7887,0.996
0.2990,0.0303,0.6108,0.7870,0.997
0.3070,-0.0005,0.6020,0.7537,0.965
0.3120,-0.0217,0.5927,0.7293,0.940
0.3220,-0.0110,0.5927,0.7261,0.937
0.3330,0.0242,0.6164,0.7662,0.984
0.3430,0.0291,0.6191,0.7960,1.009
0.3550,0.0242,0.6139,0.7992,1.008
0.3620,0.0203,0.6176,0.8024,1.013
0.3730,0.0222,0.6132,0.7950,1.004
0.3830,0.0022,0.6100,0.7660,0.979
0.3990,-0.0056,0.6113,0.7537,0.970
0.4060,-0.0103,0.6152,0.7462,0.967
0.4130,0.0064,0.6198,0.7713,0.990
0.4240,0.0139,0.6174,0.7960,1.007
0.4340,0.0034,0.6215,0.7982,1.012
0.4440,0.0076,0.6220,0.7901,1.006
0.4550,0.0086,0.6196,0.7899,1.004
0.4640,0.0095,0.6247,0.7948,1.011
0.4740,0.0073,0.6237,0.7923,1.008
0.4840,0.0081,0.6193,0.7884,1.003
0.4990,-0.0015,0.6186,0.7767,0.993
0.5050,-0.0032,0.6174,0.7657,0.984
0.5140,0.0098,0.6132,0.7713,0.985
0.5240,0.0107,0.6210,0.7838,1.000
0.5360,0.0076,0.6232,0.7855,1.003
0.5500,0.0022,0.6205,0.7804,0.997
0.5560,0.0107,0.6230,0.7801,0.998
0.5640,0.0081,0.6222,0.7831,1.000
0.5770,-0.0061,0.6252,0.7801,1.000
0.5970,0.0005,0.6218,0.7845,1.001
0.5980,0.0088,0.6130,0.7816,0.993
0.6070,0.0044,0.6205,0.7752,0.993
0.6150,-0.0061,0.6166,0.7611,0.980
0.6260,-0.0090,0.6083,0.7608,0.974
