time,gFx,gFy,gFz,TgF
0.0040,0.5783,-0.0127,0.8092,0.995
0.0050,0.5709,-0.0139,0.8131,0.994
0.0110,0.5692,-0.0122,0.8014,0.983
0.0260,0.5695,-0.0061,0.8024,0.984
0.0310,0.5744,0.0010,0.8138,0.996
0.0410,0.5719,0.0090,0.8207,1.000
0.0540,0.5775,0.0042,0.8112,0.996
0.0610,0.5822,0.0039,0.8087,0.996
0.0710,0.5780,0.0034,0.8151,0.999
0.0820,0.5756,0.0051,0.8177,1.000
0.0910,0.5709,0.0015,0.8131,0.994
0.1020,0.5800,0.0000,0.8070,0.994
0.1120,0.5812,0.0027,0.8119,0.998
0.1220,0.5736,0.0042,0.8119,0.994
0.1470,0.5636,-0.0037,0.8009,0.979
0.1500,0.5802,-0.0029,0.8087,0.995
0.1640,0.5753,0.0110,0.8090,0.993
0.1650,0.5749,0.0120,0.8104,0.994
0.1790,0.5636,0.0044,0.8107,0.987
0.1850,0.5597,0.0095,0.8116,0.986
0.1930,0.5731,0.0129,0.8119,0.994
0.2020,0.5736,0.0164,0.8197,1.001
0.2130,0.5714,0.0122,0.8290,1.007
0.2270,0.5683,0.0139,0.8346,1.010
0.2340,0.5678,0.0164,0.8275,1.004
0.2420,0.5717,0.0095,0.8224,1.002
0.2530,0.5771,0.0103,0.8292,1.010
0.2630,0.5734,0.0132,0.8268,1.006
0.2730,0.5687,0.0127,0.8317,1.008
0.2850,0.5639,0.0134,0.8290,1.003
0.2930,0.5585,0.0117,0.8129,0.986
0.3030,0.5680,0.0044,0.8104,0.990
0.3130,0.5766,-0.0037,0.8207,1.003
0.3290,0.5744,-0.0017,0.8229,1.004
0.3340,0.5670,0.0027,0.8155,0.993
0.3440,0.5646,-0.0005,0.8199,0.996
0.3550,0.5614,0.0049,0.8092,0.985
0.3660,0.5643,0.0051,0.7933,0.974
0.3790,0.5673,0.0137,0.8002,0.981
0.3850,0.5658,0.0142,0.8028,0.982
0.3950,0.5653,0.0076,0.8060,0.985
0.4050,0.5595,0.0044,0.8002,0.976
0.4290,0.5680,0.0012,0.7975,0.979
0.4300,0.5697,0.0061,0.7928,0.976
0.4350,0.5653,0.0090,0.8016,0.981
0.4450,0.5587,0.0078,0.8065,0.981
0.4560,0.5575,0.0117,0.7916,0.968
0.4690,0.5663,0.0134,0.7831,0.966
0.4760,0.5683,0.0139,0.7916,0.975
0.4860,0.5702,0.0112,0.7997,0.982
0.4970,0.5712,0.0061,0.7975,0.981
0.5060,0.5675,0.0083,0.8072,0.987
0.5170,0.5697,0.0100,0.8014,0.983
0.5280,0.5683,0.0059,0.8028,0.984
0.5360,0.5749,0.0061,0.8072,0.991
0.5460,0.5788,0.0051,0.8263,1.009
0.5560,0.5651,0.0110,0.8280,1.003
0.5680,0.5665,0.0103,0.8102,0.989
0.5760,0.5741,0.0064,0.8094,0.992
0.5860,0.5705,0.0071,0.8168,0.996
0.5960,0.5687,0.0076,0.8224,1.000
0.6060,0.5702,0.0086,0.8143,0.994
0.6170,0.5641,0.0064,0.8243,0.999
0.6280,0.5658,0.0095,0.8212,0.997
0.6360,0.5727,0.0071,0.8129,0.994
0.6460,0.5778,0.0083,0.8082,0.994
0.6560,0.5727,0.0161,0.8043,0.987
0.6670,0.5702,0.0083,0.8163,0.996
0.6760,0.5639,0.0134,0.8190,0.994
0.6860,0.5604,0.0081,0.8041,0.980
0.6970,0.5665,0.0105,0.7965,0.977
0.7060,0.5651,0.0083,0.8109,0.988
