time,gFx,gFy,gFz,TgF
0.0030,-0.1209,0.7173,0.5949,0.940
0.0090,-0.0872,0.7278,0.6274,0.965
0.0260,-0.0601,0.7302,0.6370,0.971
0.0270,-0.0401,0.7239,0.6387,0.966
0.0460,-0.0388,0.7029,0.6499,0.958
0.0490,-0.0450,0.6924,0.6614,0.959
0.0860,-0.0474,0.6994,0.6836,0.979
0.0880,-0.0359,0.7026,0.7012,0.993
0.0880,-0.0222,0.7146,0.7190,1.014
0.0890,-0.0078,0.7107,0.7371,1.024
0.0990,0.0076,0.7175,0.7484,1.037
0.1090,0.0396,0.7026,0.7435,1.024
0.1290,0.0787,0.7207,0.7327,1.031
0.1300,-0.0037,0.6638,0.7489,1.001
0.1670,-0.0410,0.6689,0.7589,1.012
0.1690,-0.0381,0.6909,0.7760,1.040
0.1700,-0.0020,0.7007,0.7645,1.037
0.1700,0.0205,0.6889,0.7401,1.011
0.1800,0.0156,0.6704,0.7134,0.979
0.1910,0.0269,0.6736,0.6914,0.966
0.2010,0.0291,0.6872,0.7083,0.987
0.2110,0.0242,0.6936,0.7315,1.008
0.2270,0.0156,0.6787,0.7445,1.008
0.2790,0.0039,0.6655,0.7542,1.006
0.2800,0.0061,0.6655,0.7584,1.009
0.2800,0.0169,0.6758,0.7618,1.018
0.2810,0.0210,0.6674,0.7581,1.010
0.2820,0.0283,0.6643,0.7547,1.006
0.2820,0.0298,0.6687,0.7562,1.010
0.2910,0.0310,0.6731,0.7496,1.008
0.3030,0.0322,0.6633,0.7354,0.991
0.3110,0.0259,0.6586,0.7149,0.972
0.3320,0.0313,0.6577,0.7046,0.964
0.3330,0.0169,0.6709,0.6944,0.966
0.3850,-0.0017,0.6838,0.6873,0.970
0.3870,-0.0059,0.6994,0.6624,0.963
0.3870,-0.0220,0.7036,0.6208,0.939
0.3880,-0.0493,0.7373,0.5896,0.945
0.3890,-0.0545,0.6926,0.6003,0.918
0.3940,-0.0120,0.6093,0.6795,0.913
0.4030,0.0506,0.5275,0.7493,0.918
0.4130,0.1160,0.5301,0.8053,0.971
0.4230,0.0528,0.5626,0.8297,1.004
0.4340,0.0103,0.6860,0.8290,1.076
0.4450,-0.0472,0.7021,0.8121,1.075
0.4980,-0.0880,0.6274,0.6355,0.897
0.5000,-0.0086,0.6584,0.5023,0.828
0.5010,0.0767,0.7598,0.5624,0.948
0.5020,0.1300,0.6557,0.6892,0.960
0.5030,0.1524,0.5817,0.8319,1.026
0.5070,0.2428,0.4068,0.8500,0.973
0.5140,0.1906,0.4573,0.9582,1.079
0.5240,0.0814,0.4678,1.0752,1.175
0.5340,-0.0142,0.4588,1.1134,1.204
0.5480,-0.0552,0.4964,1.1715,1.274
0.6010,-0.1275,0.5069,1.2152,1.323
0.6040,-0.0643,0.5096,1.1261,1.238
0.6050,0.0699,0.5372,0.9932,1.131
0.6060,0.1974,0.5805,0.8358,1.037
0.6060,0.1710,0.5573,0.7730,0.968
0.6070,0.1390,0.5042,0.7088,0.881
0.6140,0.1485,0.5311,0.6702,0.868
0.6300,0.1305,0.5814,0.6780,0.903
0.6340,0.1068,0.6108,0.6841,0.923
0.6710,0.0708,0.6081,0.7237,0.948
0.6720,0.0660,0.6020,0.7386,0.955
0.6730,0.0662,0.6088,0.7540,0.971
0.6750,0.0533,0.6147,0.7686,0.986
0.6880,0.0550,0.5885,0.7828,0.981
0.6950,0.0586,0.5363,0.7718,0.942
0.7060,0.0794,0.5250,0.7227,0.897
0.7160,0.0772,0.5746,0.7049,0.913
0.7260,0.0552,0.6205,0.7305,0.960
0.7460,0.0369,0.6222,0.7642,0.986
0.7470,0.0276,0.5876,0.8124,1.003
0.7930,0.0300,0.5871,0.8229,1.011
0.7940,0.0418,0.5893,0.7911,0.987
0.7950,0.0618,0.5885,0.7537,0.958
0.7950,0.0564,0.5814,0.7361,0.940
0.7960,0.0674,0.5727,0.7205,0.923
0.8150,0.0584,0.5912,0.7327,0.943
0.8160,0.0393,0.6022,0.7393,0.954
0.8350,0.0156,0.6032,0.7554,0.967
0.8370,0.0320,0.6049,0.7679,0.978
0.8480,0.0450,0.6012,0.7660,0.975
0.8630,0.0545,0.6100,0.7694,0.983
0.8680,0.0528,0.6183,0.7777,0.995
0.8780,0.0450,0.6149,0.7994,1.010
0.9240,0.0425,0.6098,0.8192,1.022
0.9260,0.0454,0.6088,0.8165,1.020
0.9260,0.0467,0.6091,0.8160,1.019
0.9270,0.0469,0.6088,0.7984,1.005
0.9280,0.0506,0.6098,0.7860,0.996
0.9380,0.0479,0.6191,0.7816,0.998
0.9480,0.0447,0.6171,0.7811,0.996
0.9630,0.0406,0.6120,0.7938,1.003
0.9670,0.0447,0.6078,0.7762,0.987
1.0030,0.0474,0.6027,0.7765,0.984
1.0040,0.0457,0.6027,0.7757,0.983
1.0050,0.0445,0.6042,0.7828,0.990
1.0080,0.0457,0.6032,0.7831,0.989
1.0190,0.0440,0.5998,0.7870,0.990
1.0290,0.0428,0.6071,0.7989,1.004
1.0460,0.0342,0.6091,0.8072,1.012
1.0490,0.0266,0.5934,0.7940,0.992
1.0920,0.0384,0.5812,0.7567,0.955
1.0930,0.0430,0.5966,0.7354,0.948
1.0930,0.0376,0.6152,0.7398,0.963
1.0940,0.0271,0.6152,0.7601,0.978
1.0990,0.0364,0.6083,0.7799,0.990
1.1090,0.0327,0.6091,0.7926,1.000
1.1180,0.0303,0.6010,0.7948,0.997
1.1280,0.0303,0.5983,0.8036,1.002
1.1480,0.0313,0.5954,0.7972,0.995
1.1500,0.0332,0.5880,0.7679,0.968
1.1980,0.0430,0.5876,0.7459,0.951
1.1990,0.0491,0.6012,0.7545,0.966
1.2000,0.0342,0.6088,0.7557,0.971
