time,gFx,gFy,gFz,TgF
0.0040,0.1774,0.8030,0.5471,0.988
0.0120,0.1823,0.7876,0.6059,1.010
0.0200,0.1654,0.7957,0.6834,1.062
0.0290,0.1280,0.7857,0.7134,1.069
0.0490,0.1036,0.7740,0.7147,1.059
0.0500,0.1026,0.7867,0.6697,1.038
0.0830,0.1204,0.7974,0.6450,1.033
0.0840,0.1082,0.7891,0.6155,1.007
0.0850,0.1344,0.7786,0.5993,0.992
0.0950,0.0980,0.8013,0.5991,1.005
0.1000,0.1085,0.7940,0.5830,0.991
0.1110,0.1165,0.7852,0.5962,0.993
0.1220,0.1092,0.7908,0.6081,1.004
0.1340,0.0975,0.7840,0.6186,1.003
0.1500,0.0794,0.7666,0.6321,0.997
0.1510,0.0608,0.7603,0.6524,1.004
0.1670,0.0535,0.7534,0.6770,1.014
0.1740,0.0645,0.7510,0.6912,1.023
0.1830,0.0867,0.7757,0.6858,1.039
0.2010,0.0792,0.7723,0.6587,1.018
0.2020,0.0684,0.7659,0.6269,0.992
0.2130,0.0481,0.7620,0.6032,0.973
0.2220,0.0374,0.7554,0.5923,0.961
0.2320,0.0430,0.7547,0.5952,0.962
0.2670,0.0511,0.7468,0.6130,0.968
0.2690,0.0633,0.7466,0.6309,0.979
0.2720,0.0667,0.7390,0.6399,0.980
0.2730,0.0581,0.7378,0.6396,0.978
0.2990,0.0362,0.7307,0.6230,0.961
0.3000,0.0151,0.7283,0.6081,0.949
0.3120,0.0000,0.7195,0.5969,0.935
0.3130,0.0071,0.7192,0.5969,0.935
0.3240,0.0156,0.7293,0.5915,0.939
0.3330,0.0200,0.7317,0.5795,0.934
0.3500,0.0452,0.7354,0.5764,0.935
0.3530,0.0682,0.7407,0.5786,0.942
0.3630,0.0831,0.7451,0.5879,0.953
0.3840,0.0911,0.7498,0.5962,0.962
0.3850,0.0821,0.7500,0.5993,0.964
0.3960,0.0723,0.7500,0.6064,0.967
0.4080,0.0577,0.7295,0.6453,0.976
0.4140,0.0577,0.7385,0.6753,1.002
0.4250,0.0581,0.7505,0.6778,1.013
0.4350,0.0442,0.7522,0.6575,1.000
