time,gFx,gFy,gFz,TgF
0.0050,0.0181,0.4256,0.9443,1.036
0.0220,0.0183,0.4302,0.9646,1.056
0.0240,0.0254,0.4334,0.9704,1.063
0.0330,0.0354,0.4444,0.9321,1.033
0.0380,0.0418,0.4539,0.9182,1.025
0.0480,0.0545,0.4393,0.8962,1.000
0.0610,0.0611,0.4446,0.9138,1.018
0.0680,0.0721,0.4432,0.9116,1.016
0.0870,0.0662,0.4290,0.8896,0.990
0.0880,0.0655,0.4246,0.8783,0.978
0.1030,0.0684,0.4229,0.8715,0.971
0.1200,0.0618,0.4207,0.8764,0.974
0.1220,0.0418,0.4187,0.8940,0.988
0.1310,0.0396,0.4195,0.8991,0.993
0.1390,0.0486,0.4202,0.9001,0.995
0.1490,0.0447,0.4161,0.8954,0.988
0.1690,0.0406,0.4148,0.8986,0.991
0.1700,0.0337,0.4143,0.8984,0.990
0.1800,0.0379,0.4153,0.8996,0.992
0.1900,0.0401,0.4131,0.8830,0.976
0.2090,0.0457,0.4104,0.8651,0.959
0.2110,0.0454,0.4117,0.8544,0.949
0.2210,0.0432,0.4126,0.8583,0.953
0.2310,0.0462,0.4158,0.8800,0.974
0.2450,0.0557,0.4099,0.8793,0.972
0.2510,0.0569,0.4104,0.8669,0.961
0.2610,0.0503,0.4095,0.8676,0.961
0.2710,0.0413,0.4073,0.8778,0.969
0.2870,0.0403,0.4168,0.8952,0.988
0.2950,0.0381,0.4178,0.8954,0.989
0.3030,0.0491,0.4146,0.8854,0.979
0.3200,0.0442,0.4197,0.8774,0.974
0.3220,0.0410,0.4163,0.8842,0.978
0.3320,0.0357,0.4244,0.8862,0.983
0.3450,0.0352,0.4209,0.8945,0.989
0.3520,0.0388,0.4239,0.8869,0.984
0.3620,0.0523,0.4207,0.8840,0.980
0.3720,0.0530,0.4246,0.8837,0.982
0.3860,0.0491,0.4197,0.8891,0.984
0.3950,0.0496,0.4178,0.8913,0.986
0.4030,0.0450,0.4241,0.8866,0.984
0.4190,0.0415,0.4212,0.8732,0.970
0.4230,0.0415,0.4234,0.8676,0.966
0.4330,0.0432,0.4219,0.8747,0.972
0.4450,0.0420,0.4229,0.8901,0.986
0.4520,0.0381,0.4229,0.9001,0.995
0.4620,0.0332,0.4187,0.8964,0.990
0.4730,0.0398,0.4197,0.8925,0.987
0.4880,0.0408,0.4185,0.9133,1.005
0.4940,0.0393,0.4256,0.9252,1.019
0.5030,0.0523,0.4261,0.9077,1.004
0.5260,0.0457,0.4246,0.8932,0.990
0.5270,0.0406,0.4354,0.8854,0.987
0.5330,0.0486,0.4361,0.8654,0.970
0.5440,0.0457,0.4283,0.8637,0.965
0.5540,0.0406,0.4244,0.8610,0.961
0.5640,0.0484,0.4273,0.8659,0.967
0.5740,0.0442,0.4261,0.8669,0.967
0.5860,0.0430,0.4251,0.8776,0.976
0.5940,0.0430,0.4209,0.8864,0.982
0.6050,0.0472,0.4270,0.8996,0.997
0.6160,0.0437,0.4248,0.8918,0.989
0.6270,0.0428,0.4212,0.9079,1.002
0.6350,0.0430,0.4246,0.9138,1.009
0.6460,0.0447,0.4292,0.9238,1.020
0.6560,0.0528,0.4253,0.9191,1.014
0.6660,0.0660,0.4251,0.9201,1.016
0.6850,0.0706,0.4297,0.9279,1.025
0.6860,0.0711,0.4292,0.9292,1.026
0.7130,0.0706,0.4290,0.9282,1.025
0.7150,0.0647,0.4283,0.9284,1.024
0.7160,0.0599,0.4317,0.9335,1.030
0.7280,0.0618,0.4329,0.9353,1.032
0.7370,0.0569,0.4270,0.9379,1.032
0.7480,0.0547,0.4256,0.9399,1.033
0.7570,0.0564,0.4217,0.9331,1.025
0.7670,0.0559,0.4197,0.9311,1.023
0.7860,0.0506,0.4156,0.9228,1.013
0.7870,0.0525,0.4139,0.9108,1.002
0.8170,0.0513,0.4134,0.9091,1.000
0.8180,0.0476,0.4163,0.8971,0.990
0.8190,0.0479,0.4043,0.8942,0.983
0.8280,0.0464,0.4012,0.8903,0.978
0.8380,0.0528,0.4019,0.8910,0.979
0.8480,0.0520,0.4009,0.8952,0.982
0.8600,0.0479,0.3948,0.9047,0.988
0.8680,0.0362,0.3972,0.8981,0.983
0.8790,0.0298,0.3977,0.8923,0.977
0.8890,0.0391,0.3946,0.8876,0.972
0.9060,0.0408,0.4014,0.8820,0.970
0.9090,0.0408,0.4014,0.8827,0.971
0.9370,0.0406,0.4024,0.8742,0.963
0.9390,0.0469,0.4014,0.8708,0.960
0.9390,0.0393,0.4007,0.8666,0.956
0.9500,0.0435,0.4065,0.8705,0.962
0.9610,0.0403,0.4095,0.8771,0.969
0.9700,0.0366,0.4092,0.8713,0.963
0.9800,0.0440,0.4097,0.8766,0.969
0.9900,0.0452,0.4063,0.8781,0.969
1.0050,0.0513,0.4129,0.8879,0.981
1.0330,0.0457,0.4077,0.8888,0.979
1.0350,0.0472,0.4117,0.8893,0.981
1.0370,0.0511,0.4178,0.8854,0.980
1.0420,0.0472,0.4185,0.8886,0.983
1.0510,0.0601,0.4236,0.8903,0.988
1.0610,0.0530,0.4292,0.9037,1.002
1.0710,0.0515,0.4178,0.9064,0.999
1.0870,0.0552,0.4222,0.9111,1.006
1.1130,0.0647,0.4239,0.9228,1.018
1.1150,0.0486,0.4283,0.9284,1.024
1.1160,0.0415,0.4263,0.9313,1.025
1.1230,0.0513,0.4300,0.9428,1.038
1.1320,0.0481,0.4226,0.9340,1.026
1.1440,0.0533,0.4136,0.9206,1.011
1.1530,0.0542,0.4087,0.9164,1.005
1.1630,0.0537,0.4109,0.9147,1.004
1.1720,0.0437,0.4107,0.8969,0.987
1.1860,0.0508,0.4146,0.8854,0.979
1.2140,0.0430,0.4163,0.8847,0.979
1.2160,0.0464,0.4131,0.8957,0.987
1.2160,0.0481,0.4109,0.9142,1.004
1.2260,0.0515,0.4131,0.9179,1.008
1.2330,0.0528,0.4080,0.9057,0.995
1.2450,0.0520,0.4029,0.8942,0.982
1.2550,0.0530,0.4070,0.8862,0.977
1.2630,0.0393,0.4092,0.8796,0.971
1.2740,0.0388,0.4173,0.8566,0.954
1.2870,0.0357,0.4178,0.8642,0.961
