time,gFx,gFy,gFz,TgF
0.0040,0.7231,-0.0599,0.6589,0.980
0.0050,0.7124,-0.0704,0.6394,0.960
0.0100,0.6994,-0.0708,0.6724,0.973
0.0250,0.6999,-0.0674,0.7022,0.994
0.0280,0.7112,-0.0701,0.7164,1.012
0.0580,0.7063,-0.0596,0.7186,1.009
0.0600,0.7078,-0.0457,0.7151,1.007
0.0610,0.7173,-0.0491,0.7283,1.023
0.0730,0.7315,-0.0574,0.7186,1.027
0.0830,0.7278,-0.0657,0.6958,1.009
0.0940,0.7317,-0.0638,0.6888,1.007
0.1110,0.7209,-0.0562,0.6736,0.988
0.1110,0.7222,-0.0574,0.6636,0.982
0.1270,0.7244,-0.0596,0.6692,0.988
0.1290,0.7195,-0.0665,0.6734,0.988
0.1460,0.7153,-0.0760,0.6680,0.982
0.1500,0.7183,-0.0696,0.6538,0.974
0.2050,0.7131,-0.0687,0.6423,0.962
0.2060,0.7102,-0.0699,0.6553,0.969
0.2060,0.7029,-0.0586,0.6609,0.967
0.2070,0.7139,-0.0515,0.6668,0.978
0.2070,0.7163,-0.0547,0.6819,0.991
0.2190,0.7183,-0.0537,0.6888,0.997
0.2210,0.7085,-0.0559,0.6790,0.983
0.2300,0.7153,-0.0559,0.6597,0.975
0.2470,0.7244,-0.0611,0.6636,0.984
0.2510,0.7275,-0.0628,0.6717,0.992
0.2760,0.7185,-0.0630,0.6636,0.980
0.2770,0.7131,-0.0616,0.6646,0.977
0.2890,0.7253,-0.0552,0.6778,0.994
0.2910,0.7285,-0.0564,0.6785,0.997
0.3030,0.7217,-0.0462,0.6770,0.991
0.3110,0.7275,-0.0496,0.6800,0.997
0.3210,0.7410,-0.0564,0.6851,1.011
0.3440,0.7297,-0.0562,0.6875,1.004
0.3450,0.7349,-0.0562,0.6863,1.007
0.3520,0.7444,-0.0694,0.6863,1.015
0.3610,0.7322,-0.0608,0.6858,1.005
0.3870,0.7205,-0.0540,0.6665,0.983
0.3880,0.7234,-0.0515,0.6655,0.984
0.3930,0.7339,-0.0564,0.6834,1.004
0.4030,0.7278,-0.0584,0.6958,1.009
0.4130,0.7217,-0.0586,0.6848,0.997
0.4280,0.7354,-0.0672,0.6707,0.998
0.4360,0.7256,-0.0594,0.6802,0.996
0.4450,0.7141,-0.0606,0.6675,0.979
0.4710,0.7202,-0.0572,0.6655,0.982
0.4720,0.7239,-0.0630,0.6785,0.994
0.4730,0.7161,-0.0555,0.6812,0.990
0.4850,0.7082,-0.0650,0.6787,0.983
0.4940,0.7122,-0.0718,0.6809,0.988
0.5030,0.7148,-0.0755,0.6682,0.981
0.5140,0.7097,-0.0689,0.6550,0.968
0.5280,0.7087,-0.0713,0.6504,0.965
0.5360,0.6933,-0.0638,0.6607,0.960
0.5440,0.6963,-0.0562,0.6936,0.984
0.5680,0.7060,-0.0501,0.6487,0.960
0.5690,0.7126,-0.0515,0.6526,0.968
0.5760,0.7095,-0.0635,0.6519,0.966
0.5850,0.7104,-0.0767,0.6528,0.968
0.5960,0.7205,-0.0821,0.6494,0.973
0.6050,0.7214,-0.0814,0.6440,0.971
0.6260,0.7253,-0.0743,0.6655,0.987
0.6270,0.7246,-0.0713,0.6753,0.993
0.6370,0.7324,-0.0694,0.6792,1.001
0.6470,0.7285,-0.0677,0.6641,0.988
0.6710,0.7222,-0.0613,0.6477,0.972
0.6730,0.7129,-0.0608,0.6436,0.962
0.6780,0.7168,-0.0621,0.6531,0.972
0.6880,0.7166,-0.0611,0.6638,0.979
0.6980,0.7200,-0.0657,0.6795,0.992
0.7080,0.7190,-0.0555,0.6868,0.996
0.7260,0.7256,-0.0523,0.6817,0.997
0.7270,0.7351,-0.0493,0.6826,1.004
0.7650,0.7312,-0.0428,0.6792,0.999
0.7680,0.7288,-0.0540,0.6822,1.000
0.7690,0.7324,-0.0547,0.6861,1.005
0.7690,0.7295,-0.0579,0.6792,0.998
0.7810,0.7266,-0.0611,0.6768,0.995
0.7890,0.7322,-0.0584,0.6746,0.997
0.8000,0.7373,-0.0581,0.6714,0.999
0.8110,0.7407,-0.0591,0.6707,1.001
0.8200,0.7337,-0.0574,0.6621,0.990
0.8320,0.7393,-0.0581,0.6619,0.994
0.8480,0.7398,-0.0660,0.6760,1.004
0.8500,0.7466,-0.0545,0.6817,1.012
0.8600,0.7437,-0.0508,0.6824,1.011
0.8940,0.7405,-0.0496,0.6809,1.007
0.8950,0.7385,-0.0547,0.6946,1.015
0.8960,0.7422,-0.0511,0.7032,1.024
0.9100,0.7393,-0.0472,0.7007,1.020
0.9110,0.7368,-0.0513,0.6995,1.017
0.9220,0.7322,-0.0555,0.6863,1.005
0.9440,0.7231,-0.0594,0.6778,0.993
0.9460,0.7200,-0.0625,0.6741,0.988
0.9750,0.7192,-0.0613,0.6760,0.989
0.9780,0.7219,-0.0596,0.6626,0.982
0.9780,0.7197,-0.0589,0.6492,0.971
0.9890,0.7163,-0.0691,0.6467,0.968
0.9920,0.7214,-0.0745,0.6585,0.980
1.0030,0.7156,-0.0740,0.6589,0.976
1.0160,0.7151,-0.0652,0.6668,0.980
1.0300,0.7180,-0.0572,0.6866,0.995
1.0700,0.7100,-0.0599,0.6611,0.972
1.0710,0.7148,-0.0511,0.6475,0.966
1.0710,0.7239,-0.0635,0.6448,0.971
1.0720,0.7244,-0.0655,0.6445,0.972
1.0720,0.7222,-0.0586,0.6511,0.974
1.0870,0.7263,-0.0679,0.6531,0.979
1.0940,0.7283,-0.0601,0.6580,0.983
1.1050,0.7241,-0.0674,0.6709,0.989
1.1150,0.7200,-0.0596,0.6707,0.986
1.1260,0.7219,-0.0662,0.6506,0.974
1.1640,0.7139,-0.0748,0.6763,0.986
1.1650,0.7126,-0.0784,0.6746,0.984
1.1670,0.7124,-0.0691,0.6753,0.984
1.1680,0.7114,-0.0760,0.6589,0.973
1.1760,0.7122,-0.0804,0.6565,0.972
1.1870,0.7175,-0.0748,0.6519,0.972
1.1950,0.7180,-0.0660,0.6504,0.971
1.2050,0.7192,-0.0672,0.6609,0.979
1.2270,0.7217,-0.0652,0.6592,0.980
1.2280,0.7114,-0.0603,0.6519,0.967
1.2590,0.7109,-0.0667,0.6455,0.963
1.2840,0.7058,-0.0684,0.6426,0.957
1.2850,0.7102,-0.0662,0.6492,0.964
1.2850,0.7136,-0.0601,0.6492,0.967
1.2860,0.7202,-0.0647,0.6440,0.968
1.2860,0.7246,-0.0674,0.6546,0.979
1.2970,0.7317,-0.0616,0.6739,0.997
1.3060,0.7324,-0.0613,0.6580,0.986
1.3250,0.7271,-0.0608,0.6648,0.987
1.3260,0.7324,-0.0660,0.6760,0.999
1.3530,0.7312,-0.0672,0.6795,1.000
1.3540,0.7332,-0.0699,0.6739,0.998
1.3570,0.7373,-0.0667,0.6631,0.994
1.3690,0.7424,-0.0652,0.6604,0.996
1.3780,0.7432,-0.0696,0.6682,1.002
1.3880,0.7498,-0.0660,0.6580,1.000
1.3990,0.7549,-0.0630,0.6660,1.009
1.4080,0.7527,-0.0640,0.6729,1.012
1.4270,0.7508,-0.0669,0.6702,1.009
1.4280,0.7534,-0.0713,0.6902,1.024
1.4560,0.7490,-0.0738,0.6944,1.024
1.4570,0.7417,-0.0718,0.6953,1.019
1.4580,0.7466,-0.0740,0.6912,1.020
1.4690,0.7354,-0.0713,0.6917,1.012
1.4800,0.7302,-0.0735,0.6868,1.005
1.4900,0.7334,-0.0665,0.6831,1.004
1.5020,0.7359,-0.0603,0.6802,1.004
1.5100,0.7295,-0.0518,0.6792,0.998
1.5200,0.7312,-0.0481,0.6853,1.003
1.5310,0.7432,-0.0542,0.6809,1.009
1.5470,0.7368,-0.0501,0.6824,1.006
1.5540,0.7337,-0.0535,0.6848,1.005
1.5640,0.7324,-0.0550,0.6814,1.002
1.5840,0.7288,-0.0603,0.6721,0.993
1.5860,0.7278,-0.0625,0.6739,0.994
1.5910,0.7209,-0.0621,0.6778,0.991
1.6030,0.7207,-0.0630,0.6792,0.992
1.6120,0.7234,-0.0623,0.6775,0.993
1.6220,0.7192,-0.0633,0.6695,0.985
1.6420,0.7109,-0.0633,0.6560,0.969
1.6430,0.7070,-0.0689,0.6589,0.969
1.6750,0.7004,-0.0699,0.6580,0.964
1.6760,0.6948,-0.0652,0.6653,0.964
1.6770,0.6921,-0.0589,0.6682,0.964
1.6860,0.7007,-0.0542,0.6753,0.975
1.6930,0.7078,-0.0564,0.6861,0.987
1.7050,0.7080,-0.0603,0.6973,0.996
1.7140,0.7168,-0.0638,0.6582,0.975
1.7240,0.7195,-0.0608,0.6638,0.981
1.7430,0.7200,-0.0772,0.6746,0.990
1.7440,0.7207,-0.0752,0.6756,0.991
1.7860,0.7173,-0.0816,0.6668,0.983
1.7870,0.7190,-0.0799,0.6646,0.982
1.7880,0.7217,-0.0767,0.6589,0.980
1.7890,0.7219,-0.0755,0.6480,0.973
1.7960,0.7231,-0.0677,0.6497,0.974
1.8050,0.7268,-0.0660,0.6465,0.975
1.8200,0.7307,-0.0704,0.6453,0.977
1.8250,0.7258,-0.0735,0.6629,0.986
1.8380,0.7288,-0.0721,0.6682,0.991
1.8460,0.7271,-0.0684,0.6702,0.991
1.8650,0.7234,-0.0669,0.6636,0.984
1.8670,0.7205,-0.0699,0.6582,0.978
1.8780,0.7197,-0.0730,0.6621,0.981
1.9030,0.7190,-0.0643,0.6609,0.979
1.9040,0.7114,-0.0616,0.6519,0.967
1.9060,0.7087,-0.0640,0.6499,0.964
1.9180,0.7107,-0.0716,0.6516,0.967
1.9270,0.7012,-0.0662,0.6653,0.969
1.9370,0.7012,-0.0640,0.6790,0.978
1.9470,0.7078,-0.0655,0.6912,0.991
1.9620,0.7190,-0.0677,0.6861,0.996
1.9990,0.7190,-0.0655,0.6731,0.987
2.0000,0.7166,-0.0555,0.6780,0.988
2.0010,0.7271,-0.0572,0.6927,1.006
2.0010,0.7307,-0.0669,0.6966,1.012
2.0080,0.7241,-0.0665,0.6895,1.002
2.0180,0.7205,-0.0660,0.6739,0.989
2.0280,0.7302,-0.0638,0.6902,1.007
2.0420,0.7376,-0.0616,0.6963,1.016
2.0730,0.7373,-0.0672,0.6863,1.010
2.0740,0.7385,-0.0672,0.6721,1.001
2.0750,0.7402,-0.0701,0.6589,0.994
2.0790,0.7476,-0.0723,0.6563,0.997
2.0910,0.7586,-0.0721,0.6660,1.012
2.1010,0.7495,-0.0716,0.6726,1.010
2.1100,0.7481,-0.0752,0.6858,1.018
2.1200,0.7473,-0.0804,0.7019,1.028
2.1320,0.7495,-0.0831,0.7156,1.040
2.1420,0.7412,-0.0726,0.7137,1.032
2.1810,0.7439,-0.0652,0.7142,1.033
2.1820,0.7459,-0.0584,0.7144,1.034
2.1830,0.7415,-0.0591,0.7017,1.023
2.1840,0.7371,-0.0591,0.6958,1.015
2.1910,0.7288,-0.0628,0.6795,0.998
2.2010,0.7219,-0.0633,0.6702,0.987
2.2120,0.7315,-0.0699,0.6726,0.996
2.2220,0.7266,-0.0652,0.6936,1.007
2.2440,0.7156,-0.0638,0.7007,1.004
2.2450,0.7192,-0.0728,0.6875,0.998
2.2810,0.7185,-0.0743,0.6797,0.992
2.2970,0.7170,-0.0682,0.6758,0.988
2.2980,0.7129,-0.0723,0.6782,0.987
2.2990,0.7175,-0.0691,0.6616,0.978
2.2990,0.7192,-0.0750,0.6707,0.986
2.3030,0.7185,-0.0665,0.6748,0.988
2.3130,0.7090,-0.0606,0.6892,0.991
2.3230,0.7136,-0.0677,0.6673,0.979
2.3420,0.7168,-0.0672,0.6707,0.984
2.3710,0.7163,-0.0723,0.6753,0.987
2.3720,0.7112,-0.0748,0.6690,0.979
2.3740,0.7134,-0.0674,0.6719,0.982
2.3750,0.7082,-0.0730,0.6680,0.976
2.3850,0.7139,-0.0733,0.6582,0.974
2.3940,0.7168,-0.0657,0.6587,0.976
2.4040,0.7148,-0.0723,0.6619,0.977
