time,gFx,gFy,gFz,TgF
0.0030,0.0120,0.3803,1.0127,1.082
0.0120,-0.0040,0.3682,1.0207,1.085
0.0380,-0.0120,0.3642,1.0207,1.084
0.0390,-0.0040,0.3682,1.0207,1.085
0.0440,0.0000,0.3763,1.0247,1.092
0.0520,0.0040,0.3803,1.0847,1.149
0.0620,0.0000,0.3642,1.0607,1.122
0.0790,0.0000,0.3602,0.9727,1.037
0.0820,0.0080,0.3602,0.9967,1.060
0.0920,0.0040,0.3602,1.0087,1.071
0.1020,0.0160,0.3682,1.0247,1.089
0.1160,0.0080,0.3682,1.0407,1.104
0.1280,0.0120,0.3682,1.0247,1.089
0.1320,0.0120,0.3843,1.0087,1.079
0.1420,0.0000,0.3803,1.0327,1.100
0.1530,0.0040,0.3682,1.0087,1.074
0.1630,0.0080,0.3723,1.0207,1.086
0.1790,0.0080,0.3723,1.0247,1.090
0.1820,0.0120,0.3642,1.0087,1.073
0.1940,0.0120,0.3763,1.0167,1.084
0.2020,0.0080,0.3723,1.0207,1.086
0.2120,0.0160,0.3763,1.0127,1.080
0.2330,0.0040,0.3682,1.0127,1.078
0.2340,0.0040,0.3602,1.0167,1.079
0.2460,0.0080,0.3642,1.0167,1.080
0.2520,0.0120,0.3642,1.0047,1.069
0.2620,0.0120,0.3682,1.0127,1.078
0.2770,0.0040,0.3682,1.0007,1.066
0.2820,0.0000,0.3682,1.0047,1.070
0.2920,0.0000,0.3682,1.0207,1.085
0.3020,0.0000,0.3723,1.0127,1.079
0.3160,0.0120,0.3642,1.0167,1.080
0.3270,0.0200,0.3682,1.0207,1.085
0.3320,0.0080,0.3843,1.0247,1.094
0.3420,0.0000,0.3763,1.0287,1.095
0.3520,-0.0040,0.3723,1.0327,1.098
0.3620,0.0040,0.3602,1.0327,1.094
0.3760,0.0040,0.3642,1.0287,1.091
0.3820,-0.0080,0.3642,1.0167,1.080
0.3920,-0.0040,0.3562,1.0167,1.077
0.4020,0.0000,0.3602,1.0007,1.064
0.4160,0.0040,0.3642,1.0007,1.065
0.4240,0.0080,0.3642,1.0087,1.072
0.4320,0.0000,0.3682,1.0167,1.081
0.4420,0.0000,0.3682,1.0287,1.093
0.4520,0.0000,0.3602,1.0367,1.098
0.4620,0.0000,0.3602,1.0327,1.094
0.4740,0.0040,0.3602,1.0287,1.090
0.4820,-0.0040,0.3682,1.0167,1.081
0.4920,0.0040,0.3642,1.0287,1.091
0.5020,0.0040,0.3562,1.0127,1.074
0.5120,-0.0080,0.3602,1.0127,1.075
0.5230,0.0000,0.3682,1.0167,1.081
0.5320,-0.0040,0.3682,1.0207,1.085
0.5420,-0.0040,0.3642,1.0047,1.069
0.5520,-0.0040,0.3682,1.0087,1.074
0.5620,-0.0120,0.3843,1.0087,1.079
0.5730,-0.0160,0.3883,1.0087,1.081
0.5820,0.0000,0.3723,1.0167,1.083
0.5920,0.0120,0.3562,1.0207,1.081
0.6020,0.0040,0.3482,1.0247,1.082
0.6160,0.0000,0.3482,1.0327,1.090
0.6240,-0.0040,0.3562,1.0247,1.085
0.6320,0.0000,0.3602,1.0207,1.082
0.6420,-0.0040,0.3602,1.0087,1.071
0.6520,-0.0040,0.3642,1.0127,1.076
0.6620,-0.0160,0.3642,1.0087,1.073
0.6730,0.0000,0.3682,1.0207,1.085
0.6820,-0.0040,0.3723,1.0167,1.083
0.6930,0.0000,0.3682,1.0327,1.096
0.7030,-0.0040,0.3682,1.0407,1.104
0.7160,-0.0080,0.3682,1.0407,1.104
0.7240,-0.0120,0.3763,1.0447,1.110
0.7320,-0.0160,0.3682,1.0367,1.100
0.7420,-0.0200,0.3602,1.0327,1.094
0.7520,-0.0160,0.3562,1.0327,1.093
0.7620,-0.0040,0.3602,1.0287,1.090
0.7730,-0.0080,0.3562,1.0167,1.077
0.7820,-0.0160,0.3602,1.0127,1.075
0.7920,-0.0080,0.3682,1.0127,1.078
0.8020,-0.0040,0.3763,1.0087,1.077
0.8140,-0.0080,0.3723,1.0007,1.068
0.8220,-0.0160,0.3803,1.0007,1.071
0.8320,-0.0160,0.3763,1.0087,1.077
0.8420,-0.0160,0.3723,1.0087,1.075
