time,gFx,gFy,gFz,TgF
0.0030,0.0112,0.3958,0.9023,0.985
0.0050,0.0112,0.3958,0.9023,0.985
0.0140,0.0000,0.3897,0.9116,0.991
0.0560,0.0117,0.3880,0.9138,0.993
0.0570,0.0134,0.3906,0.9147,0.995
0.0570,0.0007,0.3906,0.9138,0.994
0.0580,0.0068,0.3836,0.9155,0.993
0.0650,0.0147,0.3860,0.9221,1.000
0.0760,0.0142,0.3858,0.9116,0.990
0.0850,0.0171,0.3799,0.9077,0.984
0.0970,0.0066,0.3828,0.9155,0.992
0.1130,0.0132,0.3865,0.9094,0.988
0.1170,0.0110,0.3911,0.9052,0.986
0.1270,0.0183,0.3921,0.9057,0.987
0.1470,0.0134,0.3987,0.9062,0.990
0.1480,0.0122,0.3955,0.9081,0.991
0.1610,0.0200,0.3980,0.9033,0.987
0.1680,0.0156,0.3965,0.9042,0.987
0.1790,0.0169,0.3933,0.9096,0.991
0.2020,0.0154,0.3909,0.9152,0.995
0.2030,0.0137,0.3877,0.9111,0.990
0.2180,0.0149,0.3948,0.9096,0.992
0.2240,0.0037,0.3897,0.8964,0.977
0.2300,0.0015,0.3836,0.8915,0.971
0.2410,0.0032,0.3892,0.8925,0.974
0.2510,0.0054,0.3862,0.9050,0.984
0.2610,0.0078,0.3899,0.9130,0.993
0.2830,0.0169,0.3867,0.9120,0.991
0.2840,0.0149,0.3921,0.9140,0.995
0.2930,0.0161,0.3933,0.9120,0.993
0.3030,0.0195,0.3963,0.9101,0.993
0.3130,0.0178,0.3977,0.9172,1.000
0.3240,0.0081,0.3919,0.9147,0.995
0.3330,0.0081,0.3875,0.9152,0.994
0.3430,0.0051,0.3931,0.9133,0.994
0.3540,0.0042,0.3926,0.9106,0.992
0.3680,0.0034,0.4002,0.8984,0.983
0.3780,0.0010,0.3931,0.8991,0.981
0.3840,0.0010,0.3892,0.9094,0.989
0.3950,0.0049,0.3948,0.9128,0.995
0.4080,0.0086,0.3936,0.9191,1.000
0.4150,0.0010,0.3884,0.9235,1.002
0.4250,0.0115,0.3975,0.9216,1.004
0.4360,0.0093,0.3943,0.9128,0.994
0.4460,0.0139,0.3889,0.9142,0.994
0.4590,0.0151,0.3862,0.9055,0.985
0.4670,0.0149,0.3972,0.8959,0.980
0.4770,0.0134,0.3928,0.9015,0.984
0.4870,0.0159,0.3906,0.9081,0.989
0.4970,0.0169,0.3926,0.9081,0.990
0.5070,0.0100,0.3899,0.9167,0.996
0.5180,0.0115,0.3941,0.9199,1.001
0.5290,0.0090,0.3943,0.9130,0.995
0.5500,0.0086,0.3882,0.9077,0.987
0.5520,0.0107,0.3936,0.9162,0.997
0.5590,0.0171,0.3899,0.9145,0.994
0.5710,0.0144,0.3897,0.9208,1.000
0.5790,0.0134,0.3889,0.9113,0.991
0.5900,0.0159,0.3858,0.9081,0.987
0.6000,0.0144,0.3897,0.9089,0.989
0.6110,0.0112,0.3838,0.9211,0.998
0.6210,0.0051,0.3836,0.9248,1.001
0.6300,0.0083,0.3865,0.9130,0.991
0.6510,0.0029,0.3887,0.9099,0.989
0.6520,0.0066,0.3848,0.9057,0.984
0.6620,0.0095,0.3875,0.9028,0.982
0.6730,0.0083,0.3872,0.9028,0.982
0.6810,0.0073,0.3911,0.9052,0.986
0.6920,0.0103,0.3928,0.9140,0.995
0.7010,0.0095,0.3972,0.9189,1.001
0.7120,0.0068,0.3936,0.9130,0.994
0.7240,0.0071,0.3911,0.9108,0.991
0.7320,0.0005,0.3870,0.9125,0.991
0.7430,0.0002,0.3909,0.9135,0.994
0.7550,0.0010,0.3858,0.9248,1.002
0.7640,0.0105,0.3992,0.9304,1.012
0.7740,0.0061,0.3884,0.9270,1.005
0.7840,0.0093,0.3887,0.9255,1.004
0.7940,0.0039,0.3916,0.9228,1.002
0.8030,0.0088,0.3943,0.9091,0.991
0.8160,0.0066,0.3904,0.9084,0.989
0.8250,0.0071,0.3892,0.9037,0.984
0.8350,0.0068,0.3865,0.9059,0.985
0.8460,0.0100,0.3911,0.9072,0.988
0.8670,0.0129,0.3936,0.9128,0.994
0.8680,0.0107,0.3958,0.9184,1.000
0.8770,0.0068,0.3904,0.9130,0.993
0.8880,0.0088,0.3884,0.9077,0.987
0.8970,0.0029,0.3902,0.8986,0.980
0.9070,0.0020,0.3958,0.8954,0.979
0.9160,0.0100,0.3919,0.8898,0.972
0.9270,0.0073,0.3950,0.8903,0.974
0.9380,0.0068,0.3865,0.9020,0.981
0.9470,0.0161,0.3828,0.9111,0.988
0.9600,0.0095,0.3855,0.9284,1.005
0.9680,0.0137,0.3870,0.9252,1.003
0.9780,0.0147,0.3884,0.9267,1.005
0.9900,0.0132,0.3884,0.9223,1.001
0.9980,0.0042,0.3862,0.9186,0.997
1.0090,0.0120,0.3875,0.9081,0.987
1.0320,0.0093,0.3892,0.9003,0.981
1.0320,0.0083,0.3946,0.8984,0.981
1.0430,0.0088,0.3867,0.9047,0.984
1.0500,0.0039,0.3909,0.9072,0.988
1.0610,0.0046,0.3906,0.9160,0.996
1.0710,0.0037,0.3880,0.9250,1.003
1.0810,0.0083,0.3943,0.9294,1.010
1.0900,0.0098,0.3906,0.9267,1.006
1.1040,0.0083,0.3906,0.9106,0.991
1.1120,0.0083,0.3906,0.9106,0.991
1.1230,0.0034,0.3926,0.9059,0.987
1.1320,0.0034,0.3894,0.9025,0.983
