time,gFx,gFy,gFz,TgF
0.0040,0.3411,-0.0633,0.9064,0.971
0.0100,0.3459,-0.0721,0.9160,0.982
0.0210,0.3626,-0.0726,0.9360,1.006
0.0260,0.3545,-0.0655,0.9656,1.031
0.0370,0.3411,-0.0555,0.9814,1.040
0.0480,0.3225,-0.0486,0.9839,1.037
0.0580,0.3726,-0.0335,0.9636,1.034
0.0680,0.3821,-0.0415,0.9944,1.066
0.0900,0.3567,-0.0630,0.8884,0.959
0.0900,0.3496,-0.0616,0.8581,0.929
0.0980,0.3538,-0.0472,0.8642,0.935
0.1090,0.3130,-0.0462,0.8759,0.931
0.1190,0.2863,-0.0406,0.9001,0.945
0.1300,0.2846,-0.0362,0.9309,0.974
0.1420,0.2856,-0.0371,0.9621,1.004
0.1490,0.2868,-0.0464,0.9900,1.032
0.1590,0.2934,-0.0630,1.0073,1.051
0.1760,0.3093,-0.0745,1.0193,1.068
0.1800,0.3367,-0.0699,1.0147,1.071
0.1960,0.3557,-0.0655,0.9976,1.061
0.2000,0.3611,-0.0594,0.9841,1.050
0.2080,0.3518,-0.0577,0.9631,1.027
0.2190,0.3403,-0.0489,0.9475,1.008
0.2300,0.3283,-0.0366,0.9277,0.985
0.2390,0.3208,-0.0320,0.9233,0.978
0.2490,0.3100,-0.0269,0.9191,0.970
0.2600,0.3046,-0.0269,0.9111,0.961
0.2700,0.3068,-0.0308,0.9084,0.959
0.2810,0.3200,-0.0320,0.9199,0.974
0.2900,0.3281,-0.0401,0.9279,0.985
0.3000,0.3423,-0.0430,0.9255,0.988
0.3110,0.3547,-0.0347,0.9299,0.996
0.3210,0.3560,-0.0371,0.9289,0.995
0.3310,0.3550,-0.0327,0.9296,0.996
0.3400,0.3584,-0.0413,0.9270,0.995
0.3500,0.3381,-0.0401,0.9345,0.995
0.3600,0.3269,-0.0511,0.9411,0.998
0.3760,0.3183,-0.0599,0.9460,1.000
0.3810,0.3134,-0.0545,0.9531,1.005
0.3910,0.3142,-0.0635,0.9502,1.003
0.4010,0.3222,-0.0577,0.9616,1.016
0.4140,0.3359,-0.0520,0.9675,1.025
0.4210,0.3523,-0.0535,0.9753,1.038
0.4320,0.3604,-0.0501,0.9604,1.027
0.4410,0.3601,-0.0467,0.9441,1.011
0.4510,0.3533,-0.0462,0.9235,0.990
0.4760,0.3462,-0.0452,0.9084,0.973
0.4770,0.3330,-0.0484,0.8949,0.956
0.4820,0.3222,-0.0388,0.8903,0.948
0.4920,0.3139,-0.0418,0.8942,0.949
